Key,X,Y,Point
Q,27,90.5,1
Q,27,74,2
Q,44,74,3
Q,44,90.5,4
W,46,90.5,1
W,46,74,2
W,63,74,3
W,63,90.5,4
E,65,90.5,1
E,65,74,2
E,82,74,3
E,82,90.5,4
R,84,90.5,1
R,84,74,2
R,101,74,3
R,101,90.5,4
T,103,90.5,1
T,103,74,2
T,120,74,3
T,120,90.5,4
Y,122,90.5,1
Y,122,74,2
Y,139,74,3
Y,139,90.5,4
U,141,90.5,1
U,141,74,2
U,158,74,3
U,158,90.5,4
I,160,90.5,1
I,160,74,2
I,177,74,3
I,177,90.5,4
O,179,90.5,1
O,179,74,2
O,196,74,3
O,196,90.5,4
P,198,90.5,1
P,198,74,2
P,215,74,3
P,215,90.5,4
Delete,217,90.5,1
Delete,217,74,2
Delete,253,74,3
Delete,253,90.5,4
A,27,72,1
A,27,55.5,2
A,44,55.5,3
A,44,72,4
S,46,72,1
S,46,55.5,2
S,63,55.5,3
S,63,72,4
D,65,72,1
D,65,55.5,2
D,82,55.5,3
D,82,72,4
F,84,72,1
F,84,55.5,2
F,101,55.5,3
F,101,72,4
G,103,72,1
G,103,55.5,2
G,120,55.5,3
G,120,72,4
H,122,72,1
H,122,55.5,2
H,139,55.5,3
H,139,72,4
J,141,72,1
J,141,55.5,2
J,158,55.5,3
J,158,72,4
K,160,72,1
K,160,55.5,2
K,177,55.5,3
K,177,72,4
L,179,72,1
L,179,55.5,2
L,196,55.5,3
L,196,72,4
Semicolon,198,72,1
Semicolon,198,55.5,2
Semicolon,215,55.5,3
Semicolon,215,72,4
Quote,217,72,1
Quote,217,55.5,2
Quote,234,55.5,3
Quote,234,72,4
BackSlash,236,72,1
BackSlash,236,55.5,2
BackSlash,253,55.5,3
BackSlash,253,72,4
Z,27,53.5,1
Z,27,37,2
Z,44,37,3
Z,44,53.5,4
X,46,53.5,1
X,46,37,2
X,63,37,3
X,63,53.5,4
C,65,53.5,1
C,65,37,2
C,82,37,3
C,82,53.5,4
V,84,53.5,1
V,84,37,2
V,101,37,3
V,101,53.5,4
B,103,53.5,1
B,103,37,2
B,120,37,3
B,120,53.5,4
N,122,53.5,1
N,122,37,2
N,139,37,3
N,139,53.5,4
M,141,53.5,1
M,141,37,2
M,158,37,3
M,158,53.5,4
Comma,160,53.5,1
Comma,160,37,2
Comma,177,37,3
Comma,177,53.5,4
Period,179,53.5,1
Period,179,37,2
Period,196,37,3
Period,196,53.5,4
Question,198,53.5,1
Question,198,37,2
Question,215,37,3
Question,215,53.5,4
Return,217,53.5,1
Return,217,37,2
Return,253,37,3
Return,253,53.5,4
LeftShift,27,35,1
LeftShift,27,18.5,2
LeftShift,82,18.5,3
LeftShift,82,35,4
Space,84,35,1
Space,84,18.5,2
Space,196,18.5,3
Space,196,35,4
RightShift,198,35,1
RightShift,198,18.5,2
RightShift,253,18.5,3
RightShift,253,35,4
